dsb_bin,pred_mean,lower_2_5,upper_97_5,mean,se
-0.5,0.05576830569731395,0.040122956233890054,0.07302167605186556,0.06421851780060735,0.028429396382458883
-0.4,0.1019060544577642,0.08455376406693117,0.11801203209996175,0.09470799064546949,0.029835986881486764
-0.3,0.1400218035456493,0.11955652949553802,0.15804963714765796,0.1317560598620466,0.02240054203597969
-0.2,0.23163355898673238,0.2135294512116896,0.24980509027018963,0.19999147252772567,0.025172421526357673
-0.1,0.3275046279399853,0.3021544086578816,0.3575291049424334,0.26373776445544267,0.018162499711905828
-0.0,0.4785003970843134,0.45737975579751805,0.49833014610818105,0.47874382354177575,0.013140687533611774
0.1,0.6398776360744565,0.6064827382099437,0.663998308218439,0.6604786659175451,0.029468910389923768
0.2,0.7353450802140858,0.7143574807744106,0.7583948418255895,0.7194836446966154,0.024853074131246038
0.3,0.8315542983593199,0.8054714005952379,0.8524767818275313,0.8497103626458825,0.023044120076984354
0.4,0.8890104101145103,0.8742455351141426,0.9066739672124515,0.8896302974005502,0.028425749097890522
0.5,0.9322776619846553,0.912624489063589,0.9496824104480718,0.9299315335273693,0.022663398178466864
