"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","baseline_date","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","left_word","right_word","valence","trial_number","participant_response","valid_response"
"pavlovia","0","769","0.0-0.0","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","","","","","","","","",""
"instructions","1","12261","0.0-1.0","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","[{""page_index"":0,""viewing_time"":2956},{""page_index"":1,""viewing_time"":2728},{""page_index"":2,""viewing_time"":3521},{""page_index"":3,""viewing_time"":2284}]","11491","","","","","","","",""
"html-button-response","2","14382","0.0-2.0-0.0","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","2118","<p style=""font-size:24px;"">Which word describes you more?</p>","1","helper","spirited","PosPos","","spirited","true"
"html-button-response","3","19545","0.0-2.0-0.1","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","5161","<p style=""font-size:24px;"">Which word describes you more?</p>","1","carefree","hater","PosNeg","","hater","true"
"html-button-response","4","20361","0.0-2.0-0.2","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","815","<p style=""font-size:24px;"">Which word describes you more?</p>","1","tolerant","unwanted","PosNeg","","unwanted","true"
"html-button-response","5","21272","0.0-2.0-0.3","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","910","<p style=""font-size:24px;"">Which word describes you more?</p>","0","tolerant","hater","PosNeg","","tolerant","true"
"html-button-response","6","23488","0.0-2.0-0.4","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","2214","<p style=""font-size:24px;"">Which word describes you more?</p>","1","creep","unwanted","NegNeg","","unwanted","true"
"html-button-response","7","24576","0.0-2.0-0.5","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","1087","<p style=""font-size:24px;"">Which word describes you more?</p>","0","sloppy","unwanted","NegNeg","","sloppy","true"
"html-button-response","8","25571","0.0-2.0-0.6","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","994","<p style=""font-size:24px;"">Which word describes you more?</p>","1","tolerant","excited","PosPos","","excited","true"
"html-button-response","9","26383","0.0-2.0-0.7","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","810","<p style=""font-size:24px;"">Which word describes you more?</p>","0","carefree","empty","PosNeg","","carefree","true"
"html-button-response","10","27283","0.0-2.0-0.8","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","899","<p style=""font-size:24px;"">Which word describes you more?</p>","1","creep","hater","NegNeg","","hater","true"
"html-button-response","11","28164","0.0-2.0-0.9","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","879","<p style=""font-size:24px;"">Which word describes you more?</p>","0","carefree","graceful","PosPos","","carefree","true"
"html-button-response","12","28914","0.0-2.0-0.10","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","747","<p style=""font-size:24px;"">Which word describes you more?</p>","1","helper","devoted","PosPos","","devoted","true"
"html-button-response","13","30077","0.0-2.0-0.11","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","","1161","<p style=""font-size:24px;"">Which word describes you more?</p>","0","sloppy","empty","NegNeg","","sloppy","true"
"instructions","14","32619","0.0-3.0","R_7jcYBgvhkCY9JAM","2025-09-22","day1","morning","2025-09-22T06:47:04.797Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","1264","748","240","[{""page_index"":0,""viewing_time"":2540}]","2541","","","","","","","",""
